Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WY,Johnson County School District #1,5603770,2015,Total enrollment,F,19.00,8.00,2.00,55.00,8.00,607.00,0.00,699.00,43.00,2.00,4.00
WY,Platte County School District #1,5605090,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,6.00,0.00,0.00
WY,Platte County School District #1,5605090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
WY,Platte County School District #1,5605090,2015,Total enrollment,M,8.00,11.00,4.00,53.00,2.00,464.00,9.00,551.00,92.00,11.00,12.00
WY,Platte County School District #1,5605090,2015,Total enrollment,F,9.00,4.00,0.00,53.00,4.00,461.00,7.00,538.00,56.00,26.00,12.00
WY,Converse County School District #1,5602140,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,0.00,39.00,0.00,44.00,14.00,0.00,0.00
WY,Converse County School District #1,5602140,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,8.00,0.00,8.00,0.00,16.00,3.00,0.00,0.00
WY,Converse County School District #1,5602140,2015,Total enrollment,M,19.00,4.00,0.00,87.00,10.00,758.00,2.00,880.00,201.00,13.00,24.00
WY,Converse County School District #1,5602140,2015,Total enrollment,F,4.00,6.00,0.00,87.00,8.00,752.00,8.00,865.00,119.00,21.00,15.00
WY,Sublette County School District #9,5601260,2015,School days missed due to out-of-school suspension,M,3.00,0.00,0.00,3.00,0.00,21.00,8.00,35.00,7.00,0.00,0.00
WY,Sublette County School District #9,5601260,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00
WY,Sublette County School District #9,5601260,2015,Total enrollment,M,6.00,2.00,2.00,50.00,2.00,269.00,11.00,342.00,37.00,4.00,14.00
WY,Sublette County School District #9,5601260,2015,Total enrollment,F,8.00,0.00,0.00,44.00,2.00,215.00,6.00,275.00,15.00,2.00,8.00
WY,Fremont County School District #14,5604450,2015,School days missed due to out-of-school suspension,M,45.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,12.00,0.00,3.00
WY,Fremont County School District #14,5604450,2015,School days missed due to out-of-school suspension,F,46.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,0.00,2.00
WY,Fremont County School District #14,5604450,2015,Total enrollment,M,375.00,0.00,2.00,6.00,0.00,6.00,6.00,395.00,90.00,2.00,45.00
WY,Fremont County School District #14,5604450,2015,Total enrollment,F,372.00,2.00,2.00,0.00,0.00,4.00,2.00,382.00,36.00,2.00,27.00
WY,Fremont County School District #24,5605700,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,10.00,1.00,12.00,3.00,0.00,0.00
WY,Fremont County School District #24,5605700,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
WY,Fremont County School District #24,5605700,2015,Total enrollment,M,12.00,0.00,0.00,27.00,2.00,177.00,7.00,225.00,39.00,0.00,7.00
WY,Fremont County School District #24,5605700,2015,Total enrollment,F,6.00,0.00,0.00,18.00,0.00,159.00,4.00,187.00,11.00,2.00,6.00
WY,Uinta County School District #1,5602760,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,27.00,1.00,122.00,0.00,152.00,43.00,0.00,3.00
WY,Uinta County School District #1,5602760,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,37.00,0.00,38.00,4.00,1.00,0.00
WY,Uinta County School District #1,5602760,2015,Total enrollment,M,15.00,15.00,0.00,223.00,23.00,1225.00,0.00,1501.00,254.00,13.00,80.00
